name	condition	replicate	intensity
ACTN1	m_wt	736	28.482392296391172
AP2B1	m_wt	736	26.493704123287714
HK1	m_wt	736	29.045232608977816
CANX	m_wt	736	28.307607112041154
CSE1L	m_wt	736	24.30903941217382
FAM129A	m_wt	736	NA
LONP1	m_wt	736	26.617228446755984
PSPH	m_wt	736	27.331166938444287
CASQ1	m_wt	736	NA
RAB6A	m_wt	736	28.397583833450447
RAB35	m_wt	736	NA
COL3A1	m_wt	736	NA
CYP27A1	m_wt	736	25.929922056087467
FHL5	m_wt	736	NA
NP_001230248	m_wt	736	33.82401651863481
LUM	m_wt	736	31.043030309181898
PSMF1	m_wt	736	NA
POLR2H	m_wt	736	NA
NP_001230274	m_wt	736	26.83050244110435
ART4	m_wt	736	NA
XP_020943044	m_wt	736	24.17881253900156
TMX4	m_wt	736	NA
HDDC3	m_wt	736	NA
LACTB2	m_wt	736	NA
XP_005655824	m_wt	736	NA
NAXD	m_wt	736	26.573475804953453
SNRPD3	m_wt	736	NA
TCP1	m_wt	736	28.478077230294982
TUBB2B	m_wt	736	NA
UFL1	m_wt	736	NA
STX12	m_wt	736	24.85960720018376
C12orf57	m_wt	736	NA
EIF4H	m_wt	736	NA
NP_001230394	m_wt	736	NA
XP_005663294	m_wt	736	26.5693526796155
RTCA	m_wt	736	NA
PSMD2	m_wt	736	27.05765350520928
RPL9	m_wt	736	26.53681101403752
NCEH1	m_wt	736	NA
BPHL	m_wt	736	25.34438396034594
SNAPIN	m_wt	736	NA
SCAMP2	m_wt	736	NA
RTRAF	m_wt	736	24.797883130701223
DYNC1I2	m_wt	736	25.754273227731844
GOLT1B	m_wt	736	NA
ADIRF	m_wt	736	29.61164673547547
AP3M1	m_wt	736	NA
EEF1B2	m_wt	736	25.87380154572489
PI16	m_wt	736	24.29817055184369
EEF1E1	m_wt	736	23.213207478560832
HNRNPH3	m_wt	736	NA
PHB2	m_wt	736	27.662344365836226
NHLRC2	m_wt	736	24.17089022730152
CKB	m_wt	736	29.24011238390932
EIF6	m_wt	736	26.427887102424148
RAC1	m_wt	736	28.308562136776626
FH	m_wt	736	26.729878351778773
PLCD1	m_wt	736	26.934721017991095
VAMP7	m_wt	736	NA
XP_020927616	m_wt	736	24.68917859166009
TSNAX	m_wt	736	NA
LHPP	m_wt	736	24.379874880751785
DYNC1LI2	m_wt	736	NA
RRAGD	m_wt	736	NA
LAMTOR2	m_wt	736	NA
CTSA	m_wt	736	NA
ARMT1	m_wt	736	NA
GSTZ1	m_wt	736	24.72650423212771
AP2M1	m_wt	736	NA
WDFY1	m_wt	736	NA
PSMA7	m_wt	736	27.17092841960164
NP_001230582	m_wt	736	NA
COL1A2	m_wt	736	NA
XP_020955505	m_wt	736	30.811458091104733
ACTN2	m_wt	736	NA
DPH5	m_wt	736	NA
TCEA1	m_wt	736	NA
HABP2	m_wt	736	NA
XP_020953924	m_wt	736	26.40854963502242
ADI1	m_wt	736	25.970333955530446
SNRPN	m_wt	736	NA
TXN2	m_wt	736	NA
CNDP2	m_wt	736	26.338785339028522
XP_020930257	m_wt	736	26.822258447009443
NDUFS3	m_wt	736	26.5731145984117
PRPS2	m_wt	736	NA
RAB8A	m_wt	736	25.035276009804566
NUDC	m_wt	736	NA
FKBP10	m_wt	736	NA
CHID1	m_wt	736	NA
AKR7A2	m_wt	736	24.937911480361986
SEC61B	m_wt	736	NA
NP_001230759	m_wt	736	NA
CPOX	m_wt	736	NA
XP_020941305	m_wt	736	27.690857585219245
CD151	m_wt	736	NA
RDH16	m_wt	736	NA
RUVBL2	m_wt	736	25.472463774260493
NP_001230809	m_wt	736	NA
GLRX3	m_wt	736	26.385859636576836
SMU1	m_wt	736	NA
XP_013837953	m_wt	736	26.18205649137381
HSPA8	m_wt	736	30.46898112840433
AP1M1	m_wt	736	NA
CYB5R1	m_wt	736	NA
